TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612755,Philadelphia 76ers,23,12,11,0.522,1109.0,0.445,0.332,0.14,0.352,0.486,0.261,0.152,0.307,1,2,16,5,1,11,6,5,2,13,1,7,5,2000-01
1610612756,Phoenix Suns,4,1,3,0.25,192.0,0.404,0.254,0.14,0.303,0.434,0.352,0.179,0.361,11,11,2,11,12,16,15,4,10,2,9,1,13,2000-01
1610612757,Portland Trail Blazers,3,0,3,0.0,144.0,0.454,0.341,0.162,0.231,0.486,0.335,0.125,0.376,15,15,2,15,15,8,4,13,16,14,8,15,15,2000-01
1610612758,Sacramento Kings,8,3,5,0.375,384.0,0.432,0.333,0.169,0.344,0.448,0.365,0.149,0.319,8,8,11,10,8,14,5,15,3,6,13,10,9,2000-01
1610612759,San Antonio Spurs,13,7,6,0.538,624.0,0.475,0.353,0.154,0.273,0.442,0.266,0.131,0.33,4,4,12,4,4,6,3,11,13,3,2,12,10,2000-01
1610612761,Toronto Raptors,12,6,6,0.5,576.0,0.481,0.262,0.154,0.321,0.477,0.331,0.156,0.307,5,5,12,6,5,3,14,12,6,12,6,5,6,2000-01
1610612762,Utah Jazz,5,2,3,0.4,240.0,0.447,0.332,0.14,0.312,0.468,0.386,0.148,0.291,9,9,2,7,9,9,7,6,7,9,14,11,3,2000-01
1610612738,Boston Celtics,16,9,7,0.563,768.0,0.469,0.292,0.155,0.277,0.45,0.35,0.161,0.277,3,4,15,3,4,6,13,8,13,5,8,5,4,2001-02
1610612766,Charlotte Hornets,9,4,5,0.444,442.0,0.449,0.399,0.157,0.36,0.454,0.386,0.141,0.303,7,5,11,6,7,12,3,9,3,6,13,12,8,2001-02
1610612742,Dallas Mavericks,8,4,4,0.5,389.0,0.499,0.287,0.126,0.281,0.493,0.379,0.15,0.344,8,5,9,5,8,1,14,3,12,13,11,10,15,2001-02
1610612765,Detroit Pistons,10,4,6,0.4,480.0,0.454,0.304,0.168,0.265,0.446,0.258,0.18,0.334,5,5,12,7,5,10,11,13,14,3,3,2,13,2001-02
1610612754,Indiana Pacers,5,2,3,0.4,250.0,0.489,0.297,0.192,0.239,0.448,0.284,0.154,0.289,9,9,1,7,9,2,12,16,16,4,4,6,5,2001-02
1610612747,Los Angeles Lakers,19,15,4,0.789,917.0,0.482,0.349,0.148,0.319,0.455,0.324,0.14,0.317,2,1,9,1,2,3,6,5,6,7,7,13,10,2001-02
1610612750,Minnesota Timberwolves,3,0,3,0.0,144.0,0.475,0.428,0.161,0.327,0.521,0.316,0.11,0.238,15,15,1,15,15,5,2,11,5,15,6,16,1,2001-02
1610612751,New Jersey Nets,20,11,9,0.55,970.0,0.457,0.324,0.15,0.314,0.472,0.383,0.164,0.302,1,2,16,4,1,9,10,6,9,11,12,4,7,2001-02
1610612753,Orlando Magic,4,1,3,0.25,202.0,0.451,0.395,0.126,0.24,0.445,0.407,0.15,0.367,13,13,1,13,13,11,4,2,15,2,15,9,16,2001-02
1610612755,Philadelphia 76ers,5,2,3,0.4,240.0,0.44,0.435,0.161,0.315,0.541,0.223,0.152,0.245,9,9,1,7,10,14,1,12,8,16,1,7,3,2001-02
1610612757,Portland Trail Blazers,3,0,3,0.0,144.0,0.423,0.337,0.159,0.352,0.487,0.444,0.145,0.239,15,15,1,15,15,16,9,10,4,12,16,11,2,2001-02
1610612758,Sacramento Kings,16,10,6,0.625,778.0,0.478,0.363,0.153,0.318,0.46,0.299,0.151,0.335,3,3,12,2,3,4,5,7,7,8,5,8,14,2001-02
1610612759,San Antonio Spurs,10,4,6,0.4,480.0,0.465,0.349,0.128,0.302,0.466,0.256,0.131,0.319,5,5,12,7,5,7,7,4,11,9,2,14,12,2001-02
1610612760,Seattle SuperSonics,5,2,3,0.4,240.0,0.46,0.239,0.124,0.303,0.503,0.353,0.114,0.306,9,9,1,7,10,8,16,1,10,14,9,15,9,2001-02
1610612761,Toronto Raptors,5,2,3,0.4,240.0,0.444,0.267,0.184,0.379,0.468,0.365,0.173,0.289,9,9,1,7,10,13,15,15,2,10,10,3,6,2001-02
1610612762,Utah Jazz,4,1,3,0.25,192.0,0.437,0.34,0.182,0.382,0.436,0.407,0.191,0.317,13,13,1,13,14,15,8,14,1,1,14,1,11,2001-02
1610612738,Boston Celtics,10,4,6,0.4,495.0,0.477,0.303,0.157,0.238,0.449,0.404,0.16,0.318,8,8,10,10,8,8,14,8,16,3,14,7,9,2002-03
1610612742,Dallas Mavericks,20,10,10,0.5,970.0,0.503,0.245,0.131,0.279,0.494,0.38,0.143,0.322,2,3,16,4,3,1,16,1,12,11,12,13,10,2002-03
1610612765,Detroit Pistons,17,8,9,0.471,826.0,0.455,0.416,0.15,0.285,0.459,0.327,0.168,0.316,4,4,15,7,4,12,2,5,11,4,6,3,8,2002-03
1610612754,Indiana Pacers,6,2,4,0.333,293.0,0.422,0.418,0.155,0.342,0.492,0.312,0.138,0.245,11,11,1,11,11,15,1,7,4,9,5,14,1,2002-03
1610612747,Los Angeles Lakers,12,6,6,0.5,581.0,0.491,0.313,0.144,0.3,0.5,0.33,0.145,0.269,5,6,10,4,7,6,12,4,10,14,7,12,3,2002-03
1610612749,Milwaukee Bucks,6,2,4,0.333,293.0,0.499,0.312,0.143,0.26,0.494,0.397,0.171,0.374,11,11,1,11,11,3,13,3,15,10,13,2,16,2002-03
1610612750,Minnesota Timberwolves,6,2,4,0.333,293.0,0.492,0.319,0.162,0.278,0.498,0.305,0.123,0.31,11,11,1,11,11,5,11,9,13,13,4,16,7,2002-03
