TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612750,Minnesota Timberwolves,4,1,3,0.25,192.0,99.5,102.4,101.7,103.9,-2.3,-1.5,0.686,2.0,19.6,0.316,0.675,0.491,0.141,0.467,0.506,85.7,83.63,69.69,333,0.494,12,12,1,12,13,9,9,9,4,1,1,8,13,13,6,7,11,16,7,1999-00
1610612752,New York Knicks,16,9,7,0.563,773.0,98.0,98.6,97.6,99.6,0.3,-1.0,0.469,1.24,13.3,0.238,0.683,0.469,0.137,0.462,0.512,86.3,85.2,71.0,1370,0.489,3,4,14,5,3,11,4,7,16,14,14,15,11,15,5,8,8,15,9,1999-00
1610612755,Philadelphia 76ers,10,5,5,0.5,485.0,102.2,105.6,105.9,106.7,-3.7,-1.1,0.558,1.5,15.2,0.35,0.689,0.511,0.142,0.452,0.507,90.2,88.43,73.69,892,0.462,5,6,10,6,5,4,15,8,11,7,12,2,9,5,7,11,10,11,13,1999-00
1610612756,Phoenix Suns,9,4,5,0.444,432.0,93.4,95.2,98.3,99.8,-4.9,-4.6,0.628,1.38,16.2,0.335,0.659,0.493,0.166,0.435,0.474,93.0,91.51,76.26,826,0.47,8,7,10,7,8,13,6,12,5,10,8,4,15,12,12,13,15,3,12,1999-00
1610612757,Portland Trail Blazers,16,10,6,0.625,768.0,104.5,106.3,99.4,100.6,5.2,5.7,0.593,1.52,16.3,0.296,0.711,0.505,0.146,0.481,0.541,88.4,87.1,72.58,1392,0.528,3,3,12,2,4,3,7,1,7,6,7,12,4,7,8,4,2,12,3,1999-00
1610612758,Sacramento Kings,5,2,3,0.4,240.0,102.1,103.0,110.6,112.0,-8.5,-9.0,0.494,1.38,13.3,0.29,0.619,0.456,0.128,0.456,0.512,94.4,93.4,77.83,468,0.442,9,9,1,8,9,7,16,15,15,9,13,14,16,16,1,10,9,1,15,1999-00
1610612759,San Antonio Spurs,4,1,3,0.25,192.0,87.5,89.3,89.3,90.2,-1.8,-0.9,0.531,0.92,12.4,0.304,0.69,0.502,0.178,0.391,0.457,93.2,91.75,76.46,366,0.474,12,12,1,12,13,15,1,6,13,15,16,10,8,8,15,16,16,2,11,1999-00
1610612760,Seattle SuperSonics,5,2,3,0.4,240.0,101.3,103.1,104.1,105.1,-2.9,-2.0,0.569,1.36,15.9,0.321,0.691,0.496,0.162,0.481,0.519,91.3,90.1,75.08,452,0.455,9,9,1,8,9,6,11,10,10,12,10,6,7,11,11,3,7,7,14,1999-00
1610612761,Toronto Raptors,3,0,3,0.0,144.0,94.0,94.0,99.5,99.6,-5.5,-5.6,0.687,1.33,15.4,0.34,0.754,0.528,0.161,0.403,0.477,88.5,88.5,73.75,267,0.487,15,15,1,15,15,14,5,14,3,13,11,3,2,2,10,15,14,10,10,1999-00
1610612762,Utah Jazz,10,4,6,0.4,480.0,98.5,99.8,103.1,105.1,-4.6,-5.3,0.713,1.58,18.9,0.298,0.685,0.497,0.168,0.475,0.519,90.0,88.6,73.83,885,0.492,5,7,12,8,7,10,10,13,1,5,2,11,10,10,13,6,6,9,8,1999-00
